target,origin,score,max_score,grade,prompt-injection-hidden,llms-txt-present,robots-ai-stance,structured-data,transparency-contact,error
openai.com,,,,,,,,,,"Could not fetch https://openai.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
anthropic.com,https://anthropic.com,60,100,C,40,0,5,0,15,
mistral.ai,https://mistral.ai,75,100,B,40,15,5,0,15,
cohere.com,https://cohere.com,90,100,A,40,15,5,15,15,
perplexity.ai,,,,,,,,,,"Could not fetch https://perplexity.ai: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
huggingface.co,https://huggingface.co,60,100,C,40,0,5,0,15,
stability.ai,https://stability.ai,85,100,B,40,0,15,15,15,
x.ai,,,,,,,,,,"Could not fetch https://x.ai: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
deepmind.google,https://deepmind.google,90,100,A,40,15,5,15,15,
scale.com,https://scale.com,60,100,C,40,0,5,0,15,
salesforce.com,https://salesforce.com,83,100,B,40,15,5,15,8,
hubspot.com,https://hubspot.com,75,100,B,40,0,5,15,15,
slack.com,https://slack.com,75,100,B,40,15,5,0,15,
zoom.us,https://zoom.us,75,100,B,40,0,5,15,15,
notion.so,https://notion.so,75,100,B,40,15,5,0,15,
atlassian.com,https://atlassian.com,90,100,A,40,15,5,15,15,
asana.com,https://asana.com,90,100,A,40,15,5,15,15,
monday.com,https://monday.com,100,100,A,40,15,15,15,15,
airtable.com,https://airtable.com,60,100,C,40,0,5,0,15,
dropbox.com,https://dropbox.com,90,100,A,40,15,5,15,15,
box.com,https://box.com,75,100,B,40,0,5,15,15,
shopify.com,https://shopify.com,90,100,A,40,15,5,15,15,
stripe.com,https://stripe.com,90,100,A,40,15,5,15,15,
intercom.com,https://intercom.com,90,100,A,40,15,5,15,15,
zendesk.com,https://zendesk.com,90,100,A,40,15,5,15,15,
figma.com,https://figma.com,78,100,B,40,0,15,15,8,
canva.com,,,,,,,,,,"Could not fetch https://canva.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
calendly.com,https://calendly.com,100,100,A,40,15,15,15,15,
docusign.com,https://docusign.com,75,100,B,40,0,5,15,15,
twilio.com,https://twilio.com,90,100,A,40,15,5,15,15,
github.com,https://github.com,75,100,B,40,15,5,0,15,
gitlab.com,https://gitlab.com,75,100,B,40,0,5,15,15,
vercel.com,https://vercel.com,90,100,A,40,15,5,15,15,
netlify.com,https://netlify.com,100,100,A,40,15,15,15,15,
cloudflare.com,https://cloudflare.com,100,100,A,40,15,15,15,15,
digitalocean.com,https://digitalocean.com,60,100,C,40,0,5,0,15,
heroku.com,https://heroku.com,90,100,A,40,15,5,15,15,
npmjs.com,,,,,,,,,,"Could not fetch https://npmjs.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
pypi.org,https://pypi.org,60,100,C,40,0,5,0,15,
stackoverflow.com,https://stackoverflow.com,70,100,C,40,0,0,15,15,
nytimes.com,https://nytimes.com,85,100,B,40,0,15,15,15,
theguardian.com,https://theguardian.com,70,100,C,40,0,15,0,15,
bbc.com,https://bbc.com,85,100,B,40,0,15,15,15,
reuters.com,,,,,,,,,,"Could not fetch https://reuters.com: the server returned HTTP 401 (the site likely blocks automated clients, for example Cloudflare bot protection)."
apnews.com,https://apnews.com,85,100,B,40,0,15,15,15,
bloomberg.com,https://bloomberg.com,85,100,B,40,0,15,15,15,
wsj.com,,,,,,,,,,"Could not fetch https://wsj.com: the server returned HTTP 401 (the site likely blocks automated clients, for example Cloudflare bot protection)."
washingtonpost.com,,,,,,,,,,"Could not fetch https://washingtonpost.com: the request failed (network error, DNS, or timeout)."
theverge.com,https://theverge.com,85,100,B,40,0,15,15,15,
techcrunch.com,https://techcrunch.com,85,100,B,40,0,15,15,15,
wired.com,https://wired.com,85,100,B,40,0,15,15,15,
arstechnica.com,https://arstechnica.com,40,100,D,40,0,0,0,0,
usa.gov,https://usa.gov,75,100,B,40,0,5,15,15,
gov.uk,https://gov.uk,60,100,C,40,0,5,0,15,
europa.eu,https://europa.eu,45,100,D,40,0,5,0,0,
canada.ca,https://canada.ca,68,100,C,40,15,5,0,8,
whitehouse.gov,https://whitehouse.gov,75,100,B,40,0,5,15,15,
irs.gov,https://irs.gov,60,100,C,40,0,5,0,15,
nasa.gov,https://nasa.gov,75,100,B,40,0,5,15,15,
nih.gov,,,,,,,,,,"Could not fetch https://nih.gov: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
who.int,https://who.int,85,100,B,40,0,15,15,15,
un.org,https://un.org,45,100,D,40,0,5,0,0,
amazon.com,https://amazon.com,55,100,D,40,0,15,0,0,
walmart.com,https://walmart.com,75,100,B,40,0,5,15,15,
target.com,https://target.com,90,100,A,40,15,5,15,15,
bestbuy.com,,,,,,,,,,"Could not fetch https://bestbuy.com: the request failed (network error, DNS, or timeout)."
ebay.com,https://ebay.com,85,100,B,40,0,15,15,15,
etsy.com,,,,,,,,,,"Could not fetch https://etsy.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
ikea.com,https://ikea.com,75,100,B,40,0,5,15,15,
nike.com,https://nike.com,75,100,B,40,0,5,15,15,
airbnb.com,https://airbnb.com,85,100,B,40,0,15,15,15,
booking.com,https://booking.com,45,100,D,40,0,5,0,0,
expedia.com,,,,,,,,,,Could not fetch https://expedia.com: the server returned HTTP 429.
doordash.com,,,,,,,,,,"Could not fetch https://doordash.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
chase.com,https://chase.com,60,100,C,40,0,5,0,15,
bankofamerica.com,https://bankofamerica.com,68,100,C,40,0,5,15,8,
wellsfargo.com,https://wellsfargo.com,75,100,B,40,0,5,15,15,
paypal.com,https://paypal.com,90,100,A,40,15,5,15,15,
visa.com,https://visa.com,70,100,C,40,0,0,15,15,
mastercard.com,,,,,,,,,,"Could not fetch https://mastercard.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
coinbase.com,,,,,,,,,,"Could not fetch https://coinbase.com: the server returned HTTP 403 (the site likely blocks automated clients, for example Cloudflare bot protection)."
robinhood.com,https://robinhood.com,60,100,C,40,0,5,0,15,
wise.com,https://wise.com,75,100,B,40,0,5,15,15,
americanexpress.com,https://americanexpress.com,75,100,B,40,15,5,0,15,
